LSOAcode,burglary_count,LAname,IMDscore,IMDrank,IMDdeci,incscore,LSOAname,pop
E01005707,27,Salford,50.403,2119,1,0.264,Salford 003C,1721
E01005708,42,Salford,43.591,3341,2,0.241,Salford 002D,1494
E01005709,5,Salford,59.089,999,1,0.393,Salford 004C,1390
E01005710,14,Salford,28.833,8582,3,0.157,Salford 004D,1508
E01005711,8,Salford,20.016,14334,5,0.097,Salford 007A,1509
E01005712,17,Salford,30.773,7661,3,0.181,Salford 007B,1619
E01005713,8,Salford,9.017,25771,8,0.042,Salford 007C,1411
E01005714,23,Salford,41.286,3906,2,0.229,Salford 007D,1442
E01005715,21,Salford,13.382,20639,7,0.067,Salford 007E,1651
E01005716,22,Salford,5.422,30096,10,0.034,Salford 013A,1779
E01005717,13,Salford,5.099,30420,10,0.022,Salford 013B,1568
E01005718,39,Salford,28.212,8920,3,0.144,Salford 007F,1677
E01005719,12,Salford,31.39,7352,3,0.175,Salford 021C,1748
E01005720,44,Salford,36.542,5360,2,0.204,Salford 021D,2408
E01005721,18,Salford,44.252,3213,1,0.215,Salford 023D,1429
E01005722,10,Salford,51.116,2012,1,0.322,Salford 021E,1779
E01005723,25,Salford,50.409,2117,1,0.304,Salford 021F,1481
E01005724,11,Salford,24.197,11256,4,0.098,Salford 021G,1473
E01005725,3,Salford,54.381,1537,1,0.32,Salford 019A,1379
E01005726,17,Salford,30.592,7746,3,0.159,Salford 019B,1500
E01005727,4,Salford,27.106,9531,3,0.175,Salford 019C,1334
E01005728,3,Salford,21.701,12998,4,0.093,Salford 019D,1351
E01005729,13,Salford,71.481,214,1,0.441,Salford 025A,1313
E01005730,6,Salford,23.521,11673,4,0.115,Salford 025B,1642
E01005731,3,Salford,44.22,3223,1,0.295,Salford 025C,1600
E01005732,4,Salford,43.363,3385,2,0.242,Salford 025D,1142
E01005733,5,Salford,52.334,1826,1,0.287,Salford 019E,1371
E01005734,14,Salford,18.793,15416,5,0.136,Salford 013C,1356
E01005735,5,Salford,9.389,25272,8,0.054,Salford 013D,1387
E01005736,4,Salford,8.517,26398,9,0.048,Salford 013E,1425
E01005737,14,Salford,9.448,25203,8,0.03,Salford 013F,1503
E01005738,18,Salford,9.589,25020,8,0.026,Salford 014C,1760
E01005739,9,Salford,4.71,30793,10,0.027,Salford 013G,1535
E01005740,21,Salford,6.02,29446,9,0.034,Salford 014D,1562
E01005741,26,Salford,5.569,29947,10,0.022,Salford 014E,1636
E01005742,8,Salford,8.575,26329,9,0.054,Salford 014F,1593
E01005743,12,Stockport,19.603,14712,5,0.086,Stockport 009A,1358
E01005744,26,Stockport,37.537,5036,2,0.194,Stockport 009B,1441
E01005745,16,Stockport,20.805,13694,5,0.101,Stockport 005A,1429
E01005746,18,Stockport,56.994,1224,1,0.322,Stockport 005B,1414
E01005747,10,Stockport,10.006,24524,8,0.059,Stockport 005C,1459
E01005748,14,Stockport,6.044,29413,9,0.036,Stockport 005D,1532
E01005749,12,Stockport,13.933,20013,7,0.076,Stockport 009C,1653
E01005750,27,Stockport,21.043,13526,5,0.093,Stockport 009D,1700
E01005751,14,Stockport,26.188,10058,4,0.143,Stockport 009E,1321
E01005752,2,Stockport,30.491,7794,3,0.204,Stockport 012A,1479
E01005753,11,Stockport,61.549,781,1,0.355,Stockport 004A,1668
E01005754,19,Stockport,76.234,69,1,0.481,Stockport 004B,1799
E01005755,7,Stockport,61.599,776,1,0.353,Stockport 004C,1654
E01005756,15,Stockport,75.498,90,1,0.438,Stockport 004D,1608
E01005757,17,Stockport,32.534,6871,3,0.156,Stockport 014A,1610
E01005758,101,Stockport,72.065,193,1,0.385,Stockport 014B,1833
E01005759,12,Stockport,22.088,12711,4,0.111,Stockport 023A,1687
E01005760,10,Stockport,32.97,6686,3,0.169,Stockport 023B,1848
E01005761,8,Stockport,32.205,7003,3,0.191,Stockport 026A,1409
E01005762,12,Stockport,64.809,535,1,0.38,Stockport 026B,1594
E01005763,11,Stockport,39.541,4403,2,0.231,Stockport 026C,1696
E01005764,12,Stockport,33.377,6517,2,0.172,Stockport 016A,1649
E01005765,16,Stockport,13.351,20681,7,0.052,Stockport 018A,1395
E01005766,11,Stockport,50.643,2087,1,0.279,Stockport 014C,1448
E01005767,28,Stockport,11.459,22791,7,0.073,Stockport 028A,1484
E01005768,20,Stockport,10.562,23818,8,0.052,Stockport 025A,1635
E01005769,53,Stockport,12.728,21356,7,0.068,Stockport 022A,1338
E01005770,20,Stockport,10.339,24094,8,0.071,Stockport 025B,1431
E01005771,13,Stockport,12.816,21247,7,0.069,Stockport 025C,1378
E01005772,15,Stockport,13.571,20408,7,0.077,Stockport 028B,1465
E01005773,27,Stockport,18.046,16090,5,0.079,Stockport 028C,1522
E01005774,19,Stockport,43.56,3347,2,0.224,Stockport 028D,1401
E01005775,32,Stockport,8.954,25845,8,0.055,Stockport 025D,1568
E01005776,25,Stockport,10.237,24221,8,0.056,Stockport 028E,1573
E01005777,14,Stockport,20.219,14157,5,0.139,Stockport 034A,1485
E01005778,29,Stockport,13.576,20398,7,0.078,Stockport 022B,1471
E01005779,14,Stockport,19.485,14836,5,0.088,Stockport 022C,1422
E01005780,18,Stockport,15.89,18051,6,0.064,Stockport 022D,1467
E01005781,26,Stockport,47.243,2613,1,0.276,Stockport 022E,1534
E01005782,13,Stockport,11.228,23073,8,0.058,Stockport 030A,1218
E01005783,18,Stockport,14.17,19772,7,0.1,Stockport 030B,1539
E01005784,37,Stockport,8.811,26042,8,0.046,Stockport 030C,1426
E01005785,16,Stockport,9.224,25497,8,0.057,Stockport 030D,1537
E01005786,17,Stockport,6.881,28469,9,0.048,Stockport 030E,1589
E01005787,17,Stockport,4.082,31427,10,0.025,Stockport 034B,1299
E01005788,20,Stockport,6.592,28799,9,0.05,Stockport 034C,1529
E01005789,30,Stockport,5.095,30424,10,0.036,Stockport 039A,1560
E01005790,2,Stockport,20.574,13871,5,0.121,Stockport 034D,1227
E01005791,16,Stockport,12.519,21589,7,0.092,Stockport 039B,1543
E01005792,25,Stockport,2.451,32508,10,0.014,Stockport 041A,1463
E01005793,21,Stockport,9.243,25474,8,0.076,Stockport 039C,1428
E01005794,5,Stockport,2.841,32315,10,0.03,Stockport 041B,1241
E01005795,17,Stockport,5.077,30443,10,0.045,Stockport 039D,1292
E01005796,2,Stockport,4.107,31401,10,0.034,Stockport 039E,1264
E01005797,20,Stockport,29.538,8240,3,0.175,Stockport 023C,1373
E01005798,31,Stockport,26.854,9674,3,0.144,Stockport 027A,1575
E01005799,13,Stockport,50.84,2053,1,0.303,Stockport 026D,1807
E01005800,26,Stockport,11.999,22173,7,0.083,Stockport 023D,1627
E01005801,10,Stockport,16.294,17661,6,0.098,Stockport 027B,1496
E01005802,32,Stockport,7.432,27762,9,0.042,Stockport 027C,1536
E01005803,23,Stockport,6.016,29449,9,0.037,Stockport 027D,1488
E01005804,13,Stockport,24.288,11192,4,0.131,Stockport 023E,1197
E01005805,13,Stockport,4.945,30554,10,0.036,Stockport 035A,1568
E01005806,15,Stockport,5.995,29479,9,0.038,Stockport 033A,1218
E01005807,14,Stockport,3.933,31567,10,0.038,Stockport 035B,1573
E01005808,22,Stockport,4.598,30904,10,0.031,Stockport 037A,1365
E01005809,7,Stockport,6.627,28746,9,0.055,Stockport 037B,1266
E01005810,12,Stockport,8.368,26599,9,0.051,Stockport 037C,1564
E01005811,17,Stockport,5.732,29765,10,0.034,Stockport 037D,1401
E01005812,23,Stockport,2.84,32318,10,0.02,Stockport 037E,1287
E01005813,20,Stockport,7.209,28059,9,0.043,Stockport 033B,1438
E01005814,18,Stockport,5.801,29672,10,0.041,Stockport 033C,1328
E01005815,12,Stockport,4.624,30885,10,0.036,Stockport 033D,1473
E01005816,5,Stockport,25.305,10580,4,0.16,Stockport 016B,1607
E01005817,10,Stockport,37.639,4991,2,0.197,Stockport 016C,1349
E01005818,13,Stockport,34.379,6108,2,0.219,Stockport 018B,1426
E01005819,18,Stockport,13.871,20078,7,0.063,Stockport 018C,1549
E01005820,14,Stockport,23.275,11867,4,0.111,Stockport 018D,1453
E01005821,19,Stockport,22.073,12723,4,0.117,Stockport 018E,1490
E01005822,39,Stockport,58.716,1045,1,0.322,Stockport 016D,1515
E01005823,15,Stockport,27.966,9052,3,0.158,Stockport 018F,1632
E01005824,19,Stockport,18.766,15441,5,0.09,Stockport 024A,1472
E01005825,12,Stockport,17.944,16162,5,0.107,Stockport 019A,1518
E01005826,10,Stockport,48.36,2434,1,0.273,Stockport 024B,1449
E01005827,25,Stockport,13.548,20431,7,0.083,Stockport 024C,1401
E01005828,5,Stockport,66.625,426,1,0.383,Stockport 024D,1294
E01005829,4,Stockport,40.21,4209,2,0.202,Stockport 024E,1284
E01005830,18,Stockport,14.696,19234,6,0.083,Stockport 027E,1477
E01005831,13,Stockport,19.321,14989,5,0.086,Stockport 027F,1549
E01005832,23,Stockport,18.409,15775,5,0.088,Stockport 021A,1472
E01005833,14,Stockport,27.443,9330,3,0.13,Stockport 021B,1042
E01005834,11,Stockport,25.998,10197,4,0.17,Stockport 031A,1509
E01005835,15,Stockport,8.143,26897,9,0.043,Stockport 021C,1395
E01005836,12,Stockport,14.858,19058,6,0.087,Stockport 031B,1833
E01005837,21,Stockport,10.72,23634,8,0.068,Stockport 021D,1584
E01005838,20,Stockport,22.954,12085,4,0.133,Stockport 031C,1705
E01005839,11,Stockport,4.77,30737,10,0.033,Stockport 035C,1314
E01005840,38,Stockport,24.554,11037,4,0.132,Stockport 031D,1533
E01005841,15,Stockport,12.229,21912,7,0.075,Stockport 035D,1538
E01005842,21,Stockport,8.429,26524,9,0.041,Stockport 038A,1618
E01005843,8,Stockport,8.363,26606,9,0.047,Stockport 021E,1505
E01005844,12,Stockport,13.785,20173,7,0.08,Stockport 036A,1492
E01005845,20,Stockport,15.616,18335,6,0.084,Stockport 036B,1615
E01005846,10,Stockport,14.117,19829,7,0.105,Stockport 040A,1664
E01005847,15,Stockport,12.327,21800,7,0.08,Stockport 040B,1552
E01005848,22,Stockport,8.433,26515,9,0.039,Stockport 040C,1839
E01005849,21,Stockport,7.848,27251,9,0.063,Stockport 036C,1565
E01005850,15,Stockport,23.356,11805,4,0.15,Stockport 040D,1759
E01005851,22,Stockport,12.3,21831,7,0.079,Stockport 036D,1515
E01005852,30,Stockport,9.724,24855,8,0.079,Stockport 013A,1555
E01005853,26,Stockport,26.765,9720,3,0.181,Stockport 011A,1568
E01005854,40,Stockport,7.607,27553,9,0.035,Stockport 013B,1627
E01005855,12,Stockport,8.615,26278,9,0.044,Stockport 013C,1506
E01005856,20,Stockport,13.231,20810,7,0.072,Stockport 011B,1621
E01005857,23,Stockport,16.471,17495,6,0.137,Stockport 013D,1554
E01005858,16,Stockport,12.302,21827,7,0.066,Stockport 013E,1571
E01005859,36,Stockport,19.573,14743,5,0.096,Stockport 008A,1452
E01005860,20,Stockport,6.808,28551,9,0.044,Stockport 011C,1491
E01005861,20,Stockport,16.087,17861,6,0.094,Stockport 011D,1546
E01005862,17,Stockport,9.041,25739,8,0.067,Stockport 003A,1557
E01005863,22,Stockport,15.497,18451,6,0.07,Stockport 006A,1738
E01005864,42,Stockport,7.341,27890,9,0.035,Stockport 006B,1475
E01005865,27,Stockport,8.964,25835,8,0.046,Stockport 008B,1477
E01005866,34,Stockport,22.044,12743,4,0.104,Stockport 006C,1717
E01005867,29,Stockport,9.219,25508,8,0.059,Stockport 008C,1449
E01005868,20,Stockport,11.697,22526,7,0.079,Stockport 008D,1494
E01005869,27,Stockport,14.037,19911,7,0.098,Stockport 006D,1509
E01005870,9,Stockport,27.489,9302,3,0.121,Stockport 015A,1403
E01005871,17,Stockport,24.436,11108,4,0.124,Stockport 015B,1342
E01005872,14,Stockport,31.925,7108,3,0.142,Stockport 019B,1713
E01005873,17,Stockport,18.581,15604,5,0.098,Stockport 015C,1486
E01005874,31,Stockport,51.441,1959,1,0.294,Stockport 019C,1673
E01005875,12,Stockport,15.17,18741,6,0.075,Stockport 015D,1561
E01005876,14,Stockport,21.249,13365,5,0.113,Stockport 019D,1484
E01005877,25,Stockport,25.84,10286,4,0.147,Stockport 019E,1403
E01005878,11,Stockport,30.736,7679,3,0.194,Stockport 020A,1425
E01005879,9,Stockport,20.82,13685,5,0.134,Stockport 020B,1308
E01005880,16,Stockport,10.1,24385,8,0.055,Stockport 017A,1492
E01005881,18,Stockport,2.817,32324,10,0.026,Stockport 017B,1277
E01005882,12,Stockport,7.507,27684,9,0.046,Stockport 020C,1375
E01005883,29,Stockport,4.876,30624,10,0.026,Stockport 017C,1534
E01005884,18,Stockport,5.387,30131,10,0.02,Stockport 020D,1488
E01005885,23,Stockport,17.269,16749,6,0.083,Stockport 020E,1377
E01005886,16,Stockport,37.422,5071,2,0.204,Stockport 001A,1497
E01005887,11,Stockport,41.657,3825,2,0.255,Stockport 002A,1506
E01005888,7,Stockport,24.385,11137,4,0.17,Stockport 001B,1523
E01005889,26,Stockport,33.386,6512,2,0.194,Stockport 001C,1474
E01005890,17,Stockport,36.662,5321,2,0.237,Stockport 002B,1488
E01005891,6,Stockport,12.361,21760,7,0.06,Stockport 001D,1288
E01005892,11,Stockport,26.09,10130,4,0.139,Stockport 003B,1309
E01005893,18,Stockport,29.143,8439,3,0.153,Stockport 002C,1700
E01005894,7,Stockport,22.372,12488,4,0.126,Stockport 001E,1408
E01005895,9,Stockport,24.264,11207,4,0.162,Stockport 003C,1151
E01005896,14,Stockport,25.194,10649,4,0.148,Stockport 002D,1672
E01005897,10,Stockport,26.67,9779,3,0.166,Stockport 010A,1495
E01005898,12,Stockport,19.537,14780,5,0.114,Stockport 010B,1592
E01005899,23,Stockport,18.461,15729,5,0.109,Stockport 012B,1611
E01005900,16,Stockport,23.883,11444,4,0.138,Stockport 010C,1543
E01005901,8,Stockport,14.919,18998,6,0.078,Stockport 012C,1396
E01005902,17,Stockport,41.501,3857,2,0.24,Stockport 012D,1623
E01005903,30,Stockport,5.426,30094,10,0.024,Stockport 010D,1436
E01005904,21,Stockport,7.275,27967,9,0.042,Stockport 010E,1459
E01005905,17,Stockport,48.658,2382,1,0.254,Stockport 012E,1435
E01005906,11,Stockport,7.773,27332,9,0.042,Stockport 038B,1447
E01005907,12,Stockport,6.672,28692,9,0.049,Stockport 038C,1291
E01005908,29,Stockport,6.415,28969,9,0.02,Stockport 017D,1492
E01005909,30,Stockport,7.147,28135,9,0.046,Stockport 029A,1554
E01005910,31,Stockport,24.508,11059,4,0.168,Stockport 029B,1530
E01005911,14,Stockport,11.595,22648,7,0.058,Stockport 029C,1350
E01005912,28,Stockport,12.066,22096,7,0.057,Stockport 029D,1368
E01005913,24,Stockport,10.235,24223,8,0.072,Stockport 038D,1439
E01005914,18,Stockport,25.868,10271,4,0.133,Stockport 007A,1426
E01005915,43,Stockport,38.625,4688,2,0.235,Stockport 007B,1488
E01005916,27,Stockport,27.81,9142,3,0.15,Stockport 007C,1574
E01005917,29,Stockport,39.18,4513,2,0.247,Stockport 007D,1617
E01005918,20,Stockport,77.101,58,1,0.478,Stockport 014D,1519
E01005919,22,Stockport,48.335,2436,1,0.3,Stockport 002E,1596
E01005920,32,Stockport,13.808,20144,7,0.086,Stockport 003D,1561
E01005921,21,Stockport,33.079,6634,3,0.207,Stockport 003E,1391
E01005922,15,Stockport,19.696,14626,5,0.097,Stockport 003F,1406
E01005923,19,Stockport,2.461,32503,10,0.022,Stockport 041C,1545
E01005924,33,Stockport,2.921,32268,10,0.014,Stockport 042A,1341
E01005925,12,Stockport,5.652,29852,10,0.063,Stockport 042B,1410
E01005926,18,Stockport,6.39,29004,9,0.027,Stockport 042C,1264
E01005927,13,Stockport,4.459,31047,10,0.039,Stockport 032A,1351
E01005928,8,Stockport,25.979,10205,4,0.154,Stockport 032B,1578
E01005929,13,Stockport,3.411,31967,10,0.024,Stockport 032C,1370
E01005930,11,Stockport,2.934,32264,10,0.014,Stockport 032D,1554
E01005931,10,Stockport,4.747,30755,10,0.063,Stockport 041D,1441
E01005932,14,Stockport,3.269,32055,10,0.039,Stockport 042D,1389
E01005933,13,Tameside,52.714,1765,1,0.323,Tameside 006A,1470
E01005934,21,Tameside,28.458,8789,3,0.166,Tameside 006B,1481
E01005935,16,Tameside,64.786,537,1,0.348,Tameside 006C,1473
E01005936,15,Tameside,16.732,17245,6,0.079,Tameside 004A,1488
E01005937,25,Tameside,35.834,5599,2,0.205,Tameside 004B,1522
E01005938,23,Tameside,33.916,6305,2,0.176,Tameside 002A,1640
E01005939,15,Tameside,14.316,19627,6,0.097,Tameside 002B,1307
E01005940,19,Tameside,20.41,14007,5,0.128,Tameside 002C,1487
E01005941,23,Tameside,52.035,1869,1,0.288,Tameside 007A,1668
E01005942,20,Tameside,20.489,13942,5,0.103,Tameside 007B,1659
E01005943,44,Tameside,25.328,10559,4,0.123,Tameside 007C,1801
E01005944,33,Tameside,22.22,12599,4,0.107,Tameside 007D,1469
E01005945,25,Tameside,51.726,1913,1,0.313,Tameside 004C,1998
E01005946,23,Tameside,38.583,4698,2,0.18,Tameside 004D,1654
E01005947,15,Tameside,60.107,912,1,0.311,Tameside 004E,1592
E01005948,152,Tameside,64.673,547,1,0.332,Tameside 013A,1790
E01005949,14,Tameside,38.842,4627,2,0.183,Tameside 006D,1560
E01005950,16,Tameside,40.903,4002,2,0.264,Tameside 013B,1939
E01005951,28,Tameside,38.411,4762,2,0.245,Tameside 013C,1596
E01005952,16,Tameside,71.016,237,1,0.455,Tameside 013D,2187
E01005953,8,Tameside,47.819,2509,1,0.278,Tameside 013E,2056
E01005954,21,Tameside,34.855,5945,2,0.215,Tameside 005A,1494
E01005955,15,Tameside,9.111,25638,8,0.054,Tameside 002D,1711
E01005956,13,Tameside,20.979,13569,5,0.108,Tameside 005B,1417
E01005957,21,Tameside,26,10195,4,0.141,Tameside 005C,1461
E01005958,11,Tameside,39.313,4482,2,0.252,Tameside 005D,1459
E01005959,19,Tameside,45.22,3015,1,0.255,Tameside 005E,1707
E01005960,24,Tameside,43.709,3313,2,0.229,Tameside 006E,1642
E01005961,36,Tameside,16.794,17186,6,0.077,Tameside 014A,1419
E01005962,23,Tameside,19.511,14803,5,0.092,Tameside 014B,1458
E01005963,12,Tameside,18.591,15588,5,0.104,Tameside 019A,1219
E01005964,24,Tameside,20.305,14076,5,0.099,Tameside 019B,1538
E01005965,17,Tameside,40.328,4176,2,0.231,Tameside 019C,1429
E01005966,14,Tameside,33.606,6418,2,0.206,Tameside 019D,1365
E01005967,14,Tameside,45.064,3048,1,0.272,Tameside 019E,1377
E01005968,9,Tameside,18.52,15672,5,0.067,Tameside 014C,1448
E01005969,23,Tameside,17.453,16596,6,0.077,Tameside 014D,1379
E01005970,13,Tameside,15.903,18032,6,0.058,Tameside 021A,1462
E01005971,17,Tameside,24.892,10829,4,0.142,Tameside 025A,1401
E01005972,12,Tameside,35.643,5658,2,0.174,Tameside 021B,1687
E01005973,14,Tameside,17.552,16507,6,0.081,Tameside 026A,1423
E01005974,47,Tameside,40.522,4104,2,0.198,Tameside 021C,1568
E01005975,18,Tameside,31.899,7120,3,0.193,Tameside 021D,1562
E01005976,10,Tameside,39.684,4356,2,0.227,Tameside 026B,1527
E01005977,20,Tameside,20.281,14096,5,0.096,Tameside 026C,1494
E01005978,17,Tameside,37.776,4949,2,0.209,Tameside 026D,1378
E01005979,10,Tameside,26.642,9800,3,0.133,Tameside 029A,1614
E01005980,2,Tameside,36.29,5436,2,0.21,Tameside 029B,1486
E01005981,9,Tameside,44.791,3100,1,0.272,Tameside 029C,1524
E01005982,15,Tameside,36.665,5319,2,0.19,Tameside 029D,1346
E01005983,8,Tameside,12.079,22075,7,0.066,Tameside 029E,1615
E01005984,3,Tameside,46.615,2732,1,0.276,Tameside 029F,1520
E01005985,6,Tameside,14.521,19425,6,0.063,Tameside 024A,1535
E01005986,9,Tameside,27.119,9527,3,0.134,Tameside 025B,1249
E01005987,16,Tameside,14.739,19189,6,0.072,Tameside 024B,1549
E01005988,9,Tameside,10.124,24354,8,0.048,Tameside 024C,1603
E01005989,15,Tameside,13.149,20889,7,0.061,Tameside 025C,1219
E01005990,16,Tameside,15.964,17984,6,0.089,Tameside 024D,1342
E01005991,14,Tameside,22.014,12763,4,0.121,Tameside 024E,1463
E01005992,27,Tameside,32.719,6792,3,0.197,Tameside 025D,1315
E01005993,8,Tameside,19.542,14774,5,0.126,Tameside 010A,1405
E01005994,4,Tameside,26.54,9862,4,0.169,Tameside 011A,1453
E01005995,3,Tameside,11.996,22179,7,0.068,Tameside 010B,1424
E01005996,22,Tameside,24.753,10915,4,0.146,Tameside 010C,1948
E01005997,11,Tameside,28.104,8974,3,0.137,Tameside 010D,1461
E01005998,34,Tameside,32.166,7018,3,0.149,Tameside 012A,1705
E01005999,41,Tameside,41.844,3769,2,0.263,Tameside 011B,1862
E01006000,64,Tameside,47.773,2516,1,0.265,Tameside 010E,1546
E01006001,18,Tameside,24.727,10932,4,0.14,Tameside 012B,1555
E01006002,21,Tameside,27.275,9426,3,0.147,Tameside 011C,1370
E01006003,31,Tameside,28.308,8877,3,0.161,Tameside 012C,1454
E01006004,12,Tameside,20.281,14095,5,0.095,Tameside 011D,1546
E01006005,4,Tameside,49.072,2310,1,0.317,Tameside 011E,1358
E01006006,6,Tameside,20.176,14186,5,0.135,Tameside 012D,1476
E01006007,22,Tameside,31.352,7378,3,0.151,Tameside 011F,1509
E01006008,16,Tameside,20.087,14264,5,0.102,Tameside 017A,1460
E01006009,8,Tameside,27.744,9178,3,0.15,Tameside 016A,1366
E01006010,12,Tameside,41.338,3893,2,0.22,Tameside 017B,1384
E01006011,7,Tameside,47.053,2651,1,0.251,Tameside 018A,1636
E01006012,15,Tameside,26.24,10021,4,0.145,Tameside 017C,1846
E01006013,10,Tameside,21.705,12995,4,0.112,Tameside 018B,1279
E01006014,14,Tameside,31.995,7086,3,0.202,Tameside 018C,1298
E01006015,12,Tameside,11.443,22810,7,0.044,Tameside 017D,1420
E01006016,36,Tameside,61.615,775,1,0.334,Tameside 017E,1766
E01006017,8,Tameside,7.578,27589,9,0.044,Tameside 016B,1417
E01006018,12,Tameside,10.478,23904,8,0.053,Tameside 016C,1364
E01006019,7,Tameside,56.235,1322,1,0.31,Tameside 018D,1510
E01006020,14,Tameside,31.535,7278,3,0.182,Tameside 018E,1555
E01006021,13,Tameside,20.04,14315,5,0.107,Tameside 016D,1365
E01006022,21,Tameside,21.544,13145,5,0.104,Tameside 015A,1624
E01006023,39,Tameside,46.047,2841,1,0.242,Tameside 015B,1547
E01006024,32,Tameside,9.085,25671,8,0.039,Tameside 022A,1808
E01006025,10,Tameside,63.927,593,1,0.36,Tameside 027A,1414
E01006026,38,Tameside,25.717,10357,4,0.136,Tameside 022B,1573
E01006027,18,Tameside,61.871,757,1,0.359,Tameside 027B,1409
E01006028,60,Tameside,53.791,1633,1,0.307,Tameside 028A,1764
E01006029,13,Tameside,37.463,5061,2,0.242,Tameside 028B,1860
E01006030,16,Tameside,39.511,4417,2,0.206,Tameside 028C,1833
E01006031,20,Tameside,48.451,2417,1,0.27,Tameside 020A,1497
E01006032,7,Tameside,41.88,3759,2,0.253,Tameside 020B,1335
E01006033,14,Tameside,39.947,4276,2,0.214,Tameside 020C,1364
E01006034,28,Tameside,34.519,6059,2,0.203,Tameside 020D,2156
E01006035,19,Tameside,31.446,7325,3,0.155,Tameside 020E,1989
E01006036,22,Tameside,38.325,4787,2,0.226,Tameside 020F,1963
E01006037,14,Tameside,10.033,24479,8,0.055,Tameside 022C,1498
E01006038,8,Tameside,17.435,16605,6,0.089,Tameside 022D,1635
E01006039,3,Tameside,35.993,5542,2,0.248,Tameside 028D,1409
E01006040,36,Tameside,47.581,2557,1,0.262,Tameside 028E,1710
E01006041,25,Tameside,30.025,8014,3,0.184,Tameside 028F,1599
E01006042,26,Tameside,15.757,18187,6,0.079,Tameside 030A,1643
E01006043,21,Tameside,27.245,9439,3,0.121,Tameside 030B,1473
E01006044,32,Tameside,24.048,11358,4,0.101,Tameside 030C,1381
E01006045,25,Tameside,11.315,22973,7,0.031,Tameside 030D,1263
E01006046,14,Tameside,12.555,21547,7,0.06,Tameside 030E,1482
E01006047,11,Tameside,25.218,10634,4,0.144,Tameside 023A,1341
E01006048,24,Tameside,16,17948,6,0.083,Tameside 023B,1499
E01006049,9,Tameside,26.134,10096,4,0.138,Tameside 023C,1536
E01006050,11,Tameside,61.926,750,1,0.343,Tameside 027C,1707
E01006051,15,Tameside,18.484,15706,5,0.113,Tameside 023D,1648
E01006052,17,Tameside,53.158,1700,1,0.354,Tameside 027D,1536
E01006053,11,Tameside,12.551,21552,7,0.062,Tameside 001A,1871
E01006054,14,Tameside,38.997,4572,2,0.234,Tameside 001B,1629
E01006055,5,Tameside,17.973,16142,5,0.092,Tameside 001C,1390
E01006056,5,Tameside,50.209,2149,1,0.319,Tameside 003A,1194
E01006057,19,Tameside,13.863,20087,7,0.08,Tameside 001D,1539
E01006058,12,Tameside,21.746,12959,4,0.111,Tameside 001E,1919
E01006059,10,Tameside,13.42,20599,7,0.079,Tameside 001F,1415
E01006060,28,Tameside,52.23,1841,1,0.262,Tameside 008A,1403
E01006061,14,Tameside,30.032,8012,3,0.225,Tameside 003B,2375
E01006062,12,Tameside,5.999,29469,9,0.037,Tameside 003C,2115
E01006063,5,Tameside,14.081,19873,7,0.058,Tameside 003D,1468
E01006064,17,Tameside,53.936,1604,1,0.292,Tameside 008B,1577
E01006065,13,Tameside,44.778,3104,1,0.318,Tameside 008C,1363
E01006066,14,Tameside,38.397,4766,2,0.188,Tameside 008D,1410
E01006067,9,Tameside,10.531,23856,8,0.053,Tameside 009A,1848
E01006068,21,Tameside,34.345,6127,2,0.18,Tameside 009B,1600
E01006069,9,Tameside,42.044,3707,2,0.296,Tameside 009C,1666
E01006070,13,Tameside,19.618,14697,5,0.087,Tameside 015C,1437
E01006071,23,Tameside,9.275,25421,8,0.039,Tameside 015D,1587
E01006072,15,Tameside,3.813,31662,10,0.026,Tameside 015E,1685
E01006073,6,Tameside,35.658,5653,2,0.247,Tameside 009D,1760
E01006074,12,Trafford,19.534,14785,5,0.153,Trafford 025A,1577
E01006075,45,Trafford,6.405,28986,9,0.046,Trafford 025B,1938
E01006076,8,Trafford,7.398,27808,9,0.06,Trafford 025C,1620
E01006077,4,Trafford,11.808,22392,7,0.085,Trafford 027A,1594
E01006078,28,Trafford,10.417,23992,8,0.069,Trafford 024A,1868
E01006079,16,Trafford,4.122,31380,10,0.044,Trafford 025D,2005
E01006080,27,Trafford,7.715,27407,9,0.049,Trafford 024B,1825
E01006081,10,Trafford,3.265,32057,10,0.02,Trafford 027B,1388
E01006082,10,Trafford,2.88,32296,10,0.018,Trafford 027C,1604
E01006083,19,Trafford,3.857,31618,10,0.014,Trafford 026A,1395
E01006084,17,Trafford,4.041,31472,10,0.023,Trafford 026B,1709
E01006085,11,Trafford,2.403,32534,10,0.027,Trafford 027D,1567
E01006086,7,Trafford,8.247,26761,9,0.088,Trafford 027E,1663
E01006087,13,Trafford,11.456,22793,7,0.04,Trafford 025E,1509
E01006088,18,Trafford,8.057,27006,9,0.034,Trafford 026C,1582
E01006089,13,Trafford,11.737,22478,7,0.061,Trafford 024C,1504
E01006090,6,Trafford,9.197,25538,8,0.049,Trafford 020A,1974
E01006091,13,Trafford,7.59,27571,9,0.056,Trafford 019A,2328
E01006092,15,Trafford,31.961,7100,3,0.222,Trafford 019B,1368
E01006093,6,Trafford,4.508,31007,10,0.036,Trafford 023A,1600
E01006094,22,Trafford,6.038,29428,9,0.044,Trafford 020B,1490
E01006095,12,Trafford,8.088,26966,9,0.052,Trafford 019C,1636
E01006096,11,Trafford,3.798,31677,10,0.027,Trafford 020C,1536
